,index,time,value,value_list,status,rep,protocol,number,decimal
839,1287,1705345149262849100,send_rep_9_p_8_s_100,"['send', 'rep', '9', 'p', '8', 's', '100']",send,9,8,100,
840,1288,1705345149975666700,send_rep_9_p_8_s_111,"['send', 'rep', '9', 'p', '8', 's', '111']",send,9,8,111,
841,1289,1705345150688216400,send_rep_9_p_9_s_00100101100010010110,"['send', 'rep', '9', 'p', '9', 's', '00100101100010010110']",send,9,9,00100101100010010110,
842,1290,1705345152080844100,send_rep_9_p_9_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '9', 's', '01000001011001000110000101101101']",send,9,9,01000001011001000110000101101101,
843,1291,1705345153895454600,send_rep_9_p_9_s_100,"['send', 'rep', '9', 'p', '9', 's', '100']",send,9,9,100,
844,1292,1705345154616352700,send_rep_9_p_9_s_111,"['send', 'rep', '9', 'p', '9', 's', '111']",send,9,9,111,
845,1293,1705345155336835700,send_rep_9_p_10_s_00100101100010010110,"['send', 'rep', '9', 'p', '10', 's', '00100101100010010110']",send,9,10,00100101100010010110,
846,1294,1705345155421187600,rec_dec_153750_bin_00100101100010010110_p_10,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '10']",rec,9,10,00100101100010010110,153750
847,1295,1705345155494892300,rec_dec_153750_bin_00100101100010010110_p_10,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '10']",rec,9,10,00100101100010010110,153750
848,1296,1705345155568292800,rec_dec_153750_bin_00100101100010010110_p_10,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '10']",rec,9,10,00100101100010010110,153750
849,1297,1705345155642102500,rec_dec_153750_bin_00100101100010010110_p_10,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '10']",rec,9,10,00100101100010010110,153750
850,1298,1705345156180864500,send_rep_9_p_10_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '10', 's', '01000001011001000110000101101101']",send,9,10,01000001011001000110000101101101,
851,1299,1705345156305641800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '10']",rec,9,10,01000001011001000110000101101101,1097097581
852,1300,1705345156412448400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '10']",rec,9,10,01000001011001000110000101101101,1097097581
853,1301,1705345156522596200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '10']",rec,9,10,01000001011001000110000101101101,1097097581
854,1302,1705345156632904000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '10']",rec,9,10,01000001011001000110000101101101,1097097581
855,1303,1705345157148052900,send_rep_9_p_10_s_100,"['send', 'rep', '9', 'p', '10', 's', '100']",send,9,10,100,
856,1304,1705345157194534400,rec_dec_4_bin_100_p_10,"['rec', 'dec', '4', 'bin', '100', 'p', '10']",rec,9,10,100,4
